query,label
"The Ryanair mobile app isn't working on my phone, what can I do?",Mobile App Issues
Are there any entertainment options available on board?,In-flight Services
Does Ryanair provide any business class amenities?,Business Travel
How do I get a refund if my flight is canceled by Ryanair?,Refunds and Compensation
I want to report an issue with my recent flight,Complaints and Feedback
Are there any specific travel restrictions in place?,Travel Restrictions
How do I request a refund for my flight due to cancellation?,Refunds and Compensation
What kind of in-flight services can I expect on a Ryanair flight? Are meals included?,In-flight Services
Can I travel with my pet on a Ryanair flight?,Pet Travel
Can I book a flight directly on the Ryanair website or do I need to use a third-party service?,Flight Bookings
Is there a fee to change my flight booking?,Flight Changes
Are there any special offers or discounts on Ryanair flights currently?,Promotions and Discounts
What are the airport services available for Ryanair passengers?,Airport Services
Can I transfer my travel voucher to someone else?,Travel Vouchers
Can I use multiple travel vouchers for one Ryanair booking?,Travel Vouchers
What documents are required for international travel with Ryanair?,Travel Documentation
Do I need to print my boarding pass for online check-in?,Check-in Procedures
How do I join Ryanair's loyalty program to earn points?,Loyalty Programs
How can I select my seat when booking a flight? Is there an extra charge for choosing a specific seat?,Seat Selection
Is there a way to track my flight in real-time?,Flight Status
What are the duty-free shopping policies?,Duty-Free Shopping
Are there any special offers or discounts on Ryanair flights right now?,Promotions and Discounts
Can you provide information about the current COVID-19 travel restrictions?,Travel Restrictions
Who are Ryanair's airline partners?,Partnerships and Alliances
How do I apply for a refund for a Ryanair flight that was canceled due to weather?,Refunds and Compensation
What identification do I need to fly with Ryanair?,Travel Documentation
I'm having trouble with payment on the Ryanair website.,Payment Issues
"How can I change my flight date with Ryanair? Are there any fees for changing my flight, and is it possible to do it online or do I need to contact customer service?",Flight Changes
How do I check the status of my flight to Berlin?,Flight Status
How do I pick my seat when booking a flight?,Seat Selection
I need to submit a complaint about my experience with Ryanair,Complaints and Feedback
What are the current COVID-19 policies and requirements for flying with Ryanair?,COVID-19 Policies
What are the travel guidelines for infants and children with Ryanair?,Child and Infant Travel
What are the options for changing my flight date or time?,Flight Changes
How do I earn and redeem frequent flyer miles with Ryanair? Is there a specific program I need to join?,Frequent Flyer Miles
Can you tell me the status of flight FR1234 to London?,Flight Status
I had a bad experience on a flight from Brussels to Paris. How do I submit a complaint?,Complaints and Feedback
Can I prepay for extra baggage for my Ryanair flight?,Baggage Policies
Are there any special discounts for flights from Berlin to Barcelona?,Promotions and Discounts
Are there any ongoing promotions for booking Ryanair flights?,Promotions and Discounts
What is the status of Ryanair flight FR1234 from Dublin to Paris?,Flight Status
Does Ryanair offer any insurance plans for travelers?,Travel Insurance
Can I change my booking online?,Flight Bookings
What are the benefits and perks of joining Ryanair's loyalty program?,Loyalty Programs
How do I give feedback or file a complaint?,Complaints and Feedback
What are Ryanair's current COVID-19 policies and travel requirements?,COVID-19 Policies
What are the steps to get compensation for a delayed flight?,Refunds and Compensation
What services are available at the Dublin airport?,Airport Services
How can I use a travel voucher for a Ryanair flight?,Travel Vouchers
Is there in-flight entertainment on Ryanair?,In-flight Services
How do I find out if my flight is on time or delayed?,Flight Status
How can I report a lost item and what is the process for retrieving it?,Lost and Found
What should I do if I miss my flight due to a delay?,Flight Status
Can I change my flight booking after confirmation?,Flight Changes
Does Ryanair offer duty-free shopping on board their flights?,Duty-Free Shopping
How do I submit a complaint about my recent experience with Ryanair?,Complaints and Feedback
How do I request a refund for a flight that was unexpectedly canceled?,Refunds and Compensation
My payment for the flight isn't working. Can you assist?,Payment Issues
Can I book a flight to Barcelona for next month through Ryanair's website or do I need to call customer service?,Flight Bookings
Will my Ryanair flight be affected by the current weather conditions? How can I find out about potential delays or cancellations?,Weather-related Disruptions
"I'm having trouble accessing my Ryanair account, can you help me reset my password or unlock my account?",Customer Account Issues
The mobile app isn't working. Can you help?,Mobile App Issues
"How many people can I include in a group booking with Ryanair, and are there any discounts?",Group Bookings
I need to change my flight. What are my options?,Flight Changes
I need help booking a flight with Ryanair.,Flight Bookings
What is Ryanair's refund policy if my flight gets canceled due to unforeseen circumstances?,Refunds and Compensation
