query,predicted_label
Are there any travel restrictions I should be aware of when flying to different countries within Europe?,Travel Restrictions
"Are there any travel restrictions I should be aware of when flying with Ryanair, especially due to COVID-19, and how can I stay informed about any changes?",Travel Restrictions
"Are there any travel restrictions I should be aware of when flying with Ryanair, especially due to the COVID-19 pandemic?",Travel Restrictions
"Are there any travel restrictions I should be aware of when flying with Ryanair? How can I find this information, and are there any updates?",Travel Restrictions
Are there any travel restrictions I should be aware of when flying with Ryanair? What are the current guidelines?,Travel Restrictions
Are there any travel restrictions I should be aware of when flying with Ryanair? Where can I find this information?,Travel Restrictions
Are there any travel restrictions I should be aware of with Ryanair?,Travel Restrictions
Are there any travel restrictions I should be aware of? How can I find out about restrictions for my destination?,Travel Restrictions
Are there any travel restrictions I should be aware of? I'm planning a trip and want to know if there are any entry requirements. Do I need to provide any specific documents or information?,Travel Restrictions
Are there any travel restrictions in place for flights to France?,Travel Restrictions
Are there any travel restrictions in place for Ryanair flights within Europe?,Travel Restrictions
Are there any travel restrictions or entry requirements for flying to France with Ryanair? How can I stay updated on these regulations?,Travel Restrictions
Are there any travel restrictions or requirements for flights from the UK to France with Ryanair? I want to make sure I comply with all regulations to avoid any issues during my trip.,Travel Restrictions
Are there any travel restrictions or requirements for Ryanair flights to France?,Travel Restrictions
Are there any travel restrictions or requirements for Ryanair flights within Europe?,Travel Restrictions
Are there any travel restrictions or requirements I should be aware of before booking a Ryanair flight?,Travel Restrictions
Are there any travel restrictions or requirements I should be aware of when flying?,Travel Restrictions
Are there any travel restrictions or requirements that I need to be aware of before booking a flight with Ryanair?,Travel Restrictions
"Are there any travel restrictions that I should be aware of before flying with Ryanair, and where can I find this information?",Travel Restrictions
Are there any travel restrictions within Europe for Ryanair flights?,Travel Restrictions
Are there any travel restrictions within Europe right now?,Travel Restrictions
Are there any upcoming Ryanair sales or discounts?,Promotions and Discounts
Are there any updates on COVID-19 travel restrictions?,Travel Restrictions
Are there any weight limits for checked baggage?,Baggage Policies
Are there any weight or size restrictions for carry-on baggage on Ryanair?,Baggage Policies
Are there benefits with partner airlines?,Partnerships and Alliances
Are there discounts available for group bookings with Ryanair?,Group Bookings
Are there discounts for group bookings?,Group Bookings
Are there discounts if I book for a group of 10 people?,Group Bookings
Are there duty-free items available on Ryanair flights?,Duty-Free Shopping
Are there duty-free shopping options on board?,Duty-Free Shopping
Are there extra charges for seat selection on Ryanair?,Seat Selection
Are there extra charges for selecting seats on the plane?,Seat Selection
Are there lounge facilities at the airport for Ryanair passengers?,Airport Services
Are there lounges available for Ryanair passengers?,Airport Services
Are there meal options available on flights longer than 2 hours?,In-flight Services
Are there meals available on Ryanair flights?,In-flight Services
Are there special offers for business travelers?,Business Travel
Are there special rules for flying with a baby on Ryanair?,Child and Infant Travel
Are there special rules for traveling with infants on Ryanair?,Child and Infant Travel
Are there special seats for infants on Ryanair flights?,Child and Infant Travel
